,x1,x2,Score
0,Chlorophyta,2-Microcystis flos-aquae,0.07108051146899322
1,Diatomaceae,2-Microcystis flos-aquae,0.0583727152696929
2,Prasinophyte,2-Microcystis flos-aquae,0.06482822008088743
3,Nitrate,2-Microcystis flos-aquae,0.0629061587994313
4,Norg_par,2-Microcystis flos-aquae,0.025824287271734775
5,Temperature,2-Microcystis flos-aquae,0.11073747733963626
6,Nitrit,2-Microcystis flos-aquae,0.0990021441188489
7,Oxygen,2-Microcystis flos-aquae,0.10297328500058767
8,Haptophytes,2-Microcystis flos-aquae,0.10471880311068471
9,Port,2-Microcystis flos-aquae,0.11965150273819185
